Dimensi,Variabel,R2 Dimensi,R2 IID Desa
Akses perangkat (A),Kepemilikan HP rumah tangga (A1),0.806307,0.508126
Akses perangkat (A),Kecukupan HP anggota usia 15 tahun ke atas (A2),0.874254,0.570056
Akses perangkat (A),Kepemilikan perangkat digital produktif (A3),0.066166,0.179359
Konektivitas internet (B),Akses internet rumah tangga (B1),1,0.62115
Kapasitas manusia (C),Pendidikan terakhir kepala keluarga (C1),0.969805,0.52386
Kapasitas manusia (C),Rasio partisipasi sekolah (C2),0.632811,0.241801
Penggunaan digital (D),Penggunaan media sosial (D1),0.301874,0.07323
Penggunaan digital (D),Akses media informasi (D2),0.243975,0.270209
Penggunaan digital (D),Partisipasi informasi/kebijakan (D3),0.370638,0.071278
Lingkungan pendukung sosial (E),Rasio keterlibatan organisasi keluarga (E1),0.504165,0.114344
Lingkungan pendukung sosial (E),Rasio partisipasi kegiatan masyarakat keluarga (E2),0.281204,0.043534
