Dimensi,Variabel,Shapley R2 Dimensi,Proporsi Shapley Dimensi,Shapley R2 IID Desa,Proporsi Shapley IID Desa
Akses perangkat (A),Kepemilikan HP rumah tangga (A1),0.405763,0.445997,0.117467,0.122681
Akses perangkat (A),Kecukupan HP anggota usia 15 tahun ke atas (A2),0.469435,0.515982,0.133013,0.138917
Akses perangkat (A),Kepemilikan perangkat digital produktif (A3),0.034591,0.038021,0.070609,0.073743
Konektivitas internet (B),Akses internet rumah tangga (B1),1,1,0.181096,0.189134
Kapasitas manusia (C),Pendidikan terakhir kepala keluarga (C1),0.663574,0.670172,0.134924,0.140913
Kapasitas manusia (C),Rasio partisipasi sekolah (C2),0.326581,0.329828,0.065799,0.06872
Penggunaan digital (D),Penggunaan media sosial (D1),0.224188,0.254195,0.043951,0.045902
Penggunaan digital (D),Akses media informasi (D2),0.337144,0.382269,0.109881,0.114758
Penggunaan digital (D),Partisipasi informasi/kebijakan (D3),0.320622,0.363536,0.045232,0.047239
Lingkungan pendukung sosial (E),Rasio keterlibatan organisasi keluarga (E1),0.489503,0.647452,0.024659,0.025754
Lingkungan pendukung sosial (E),Rasio partisipasi kegiatan masyarakat keluarga (E2),0.266543,0.352548,0.030869,0.032239
