kode_deskel,deskel,jumlah_kk,indikator_A,indikator_B,indikator_C,indikator_D,indikator_E,indikator_F,indikator_G,indikator_H,indikator_K,indikator_L,indikator_M,dimensi_A,dimensi_B,dimensi_C,dimensi_D,dimensi_E,iid_desa,interpretasi_iid_desa,ikd_desa,interpretasi_ikd_desa,gini_iid_rumah_tangga,interpretasi_gini,dds_desa,interpretasi_dds_desa
64.02.02.2001,jonggon desa,915,0.820765,0.785117,0.045902,0.724863,0.370984,0.616134,0.042978,0.456114,0.581967,0.721858,0.291803,0.550594,0.724863,0.443552,0.531876,0.249546,0.538905,Rendah,0.461095,Tinggi,0.175121,Sedang,0.318108,Tinggi
64.02.02.2002,sungai payang,672,0.796131,0.773094,0.096726,0.742932,0.373735,0.619257,0.044707,0.517684,0.660714,0.798363,0.220238,0.555317,0.742932,0.446028,0.559772,0.281195,0.553842,Rendah,0.446158,Tinggi,0.196271,Tinggi,0.321214,Tinggi
64.02.02.2003,jembayan,1359,0.840324,0.822296,0.109639,0.776858,0.489698,0.595406,0.03589,0.326699,0.635762,0.758646,0.264901,0.590753,0.776858,0.516872,0.553103,0.181294,0.574027,Rendah,0.425973,Sedang,0.18081,Tinggi,0.303392,Sedang
64.02.02.2004,loa kulu kota,1776,0.898086,0.869367,0.203266,0.825732,0.594229,0.653178,0.021622,0.405464,0.728604,0.838682,0.472973,0.656906,0.825732,0.606911,0.680086,0.213543,0.649413,Sedang,0.350587,Rendah,0.138138,Rendah,0.244362,Rendah
64.02.02.2005,loh sumber,1094,0.844607,0.835908,0.162706,0.746801,0.5883,0.673397,0.039825,0.410481,0.642596,0.803931,0.502742,0.614407,0.746801,0.602537,0.649756,0.225153,0.613276,Sedang,0.386724,Rendah,0.166169,Sedang,0.276447,Rendah
64.02.02.2006,ponoragan,785,0.86879,0.835402,0.207643,0.771019,0.601146,0.653526,0.079575,0.409512,0.580255,0.780255,0.233121,0.637278,0.771019,0.59776,0.53121,0.244544,0.602323,Sedang,0.397677,Rendah,0.168697,Sedang,0.283187,Sedang
64.02.02.2007,rempanga,852,0.940141,0.910681,0.14554,0.784624,0.604988,0.648964,0.016217,0.297203,0.512911,0.65669,0.1473,0.665454,0.784624,0.610827,0.438967,0.15671,0.588149,Rendah,0.411851,Sedang,0.151232,Rendah,0.281541,Sedang
64.02.02.2008,margahayu,1106,0.812839,0.751944,0.094937,0.744349,0.431193,0.677785,0.091501,0.486832,0.506329,0.685353,0.334087,0.55324,0.744349,0.498621,0.50859,0.289166,0.554756,Rendah,0.445244,Tinggi,0.202744,Tinggi,0.323994,Tinggi
64.02.02.2009,jonggon jaya,803,0.787049,0.762578,0.082192,0.707036,0.399191,0.602372,0.054151,0.551951,0.629514,0.743462,0.181818,0.543939,0.707036,0.455147,0.518265,0.303051,0.537731,Rendah,0.462269,Tinggi,0.197696,Tinggi,0.329982,Tinggi
64.02.02.2010,lung anai,145,0.896552,0.864253,0.103448,0.746552,0.395517,0.693089,0.206437,0.893793,0.793103,0.872414,0.424138,0.621418,0.746552,0.470632,0.696552,0.550115,0.630441,Sedang,0.369559,Rendah,0.142966,Rendah,0.256263,Rendah
64.02.02.2011,jembayan tengah,523,0.843212,0.807361,0.06501,0.732314,0.424761,0.612768,0.082318,0.439197,0.614723,0.737094,0.615679,0.571861,0.732314,0.470092,0.655832,0.260758,0.577304,Rendah,0.422696,Sedang,0.168877,Sedang,0.295786,Sedang
64.02.02.2012,jembayan dalam,447,0.776286,0.74258,0.049217,0.744966,0.373937,0.622671,0.057031,0.410403,0.517897,0.696868,0.599553,0.522695,0.744966,0.432532,0.604773,0.233717,0.547748,Rendah,0.452252,Tinggi,0.220933,Tinggi,0.336592,Tinggi
64.02.02.2013,sepakat,611,0.831424,0.839362,0.211129,0.778232,0.594026,0.623478,0.066912,0.369558,0.747136,0.846154,0.376432,0.627305,0.778232,0.59358,0.656574,0.218235,0.623239,Sedang,0.376761,Rendah,0.166177,Sedang,0.271469,Rendah
64.02.02.2014,sumber sari,1036,0.795367,0.773102,0.1361,0.722973,0.499276,0.626503,0.128716,0.425064,0.516892,0.723938,0.217181,0.56819,0.722973,0.521823,0.486004,0.27689,0.552045,Rendah,0.447955,Tinggi,0.193407,Tinggi,0.320681,Tinggi
64.02.02.2015,jongkang,432,0.886574,0.871894,0.141204,0.773148,0.504398,0.630671,0.043789,0.4479,0.75463,0.796296,0.430556,0.633224,0.773148,0.542187,0.660494,0.245844,0.616714,Sedang,0.383286,Rendah,0.142098,Rendah,0.262692,Rendah
64.02.02.2016,jembayan ilir,1164,0.860825,0.818843,0.106529,0.806271,0.47762,0.595075,0.006472,0.17339,0.626718,0.771048,0.448883,0.595399,0.806271,0.509379,0.61555,0.089931,0.584396,Rendah,0.415604,Sedang,0.15679,Sedang,0.286197,Sedang
64.02.03.2001,bakungan,2285,0.878337,0.861746,0.105033,0.799672,0.495908,0.593273,0.016765,0.346743,0.665208,0.774836,0.304158,0.614986,0.799672,0.522998,0.5814,0.181678,0.592712,Rendah,0.407288,Sedang,0.155151,Sedang,0.281219,Sedang
64.02.03.2002,loa duri ulu,2118,0.878187,0.852228,0.144004,0.819169,0.557247,0.646486,0.039618,0.323947,0.604108,0.79745,0.154391,0.624806,0.819169,0.579253,0.51865,0.181783,0.598753,Rendah,0.401247,Sedang,0.138237,Rendah,0.269742,Rendah
64.02.03.2003,loa janan ulu,3735,0.900134,0.852312,0.192236,0.817604,0.60743,0.643838,0.01061,0.344702,0.547256,0.748862,0.332396,0.648151,0.817604,0.613367,0.542838,0.177656,0.615592,Sedang,0.384408,Rendah,0.144558,Rendah,0.264483,Rendah
64.02.03.2004,purwajaya,1682,0.895363,0.858878,0.158145,0.8261,0.569709,0.672721,0.045953,0.453302,0.714923,0.845422,0.316885,0.637462,0.8261,0.591835,0.625743,0.249493,0.634355,Sedang,0.365645,Rendah,0.144143,Rendah,0.254894,Rendah
64.02.03.2005,tani bakti,877,0.846066,0.81984,0.158495,0.783067,0.492987,0.643108,0.092607,0.531927,0.761688,0.878563,0.13626,0.608134,0.783067,0.532421,0.59217,0.312267,0.603945,Sedang,0.396055,Rendah,0.16047,Sedang,0.278262,Rendah
64.02.03.2006,batuah,2704,0.851701,0.829966,0.098003,0.74399,0.448872,0.606434,0.016476,0.379426,0.612981,0.729475,0.173817,0.593223,0.74399,0.493853,0.505424,0.197951,0.553954,Rendah,0.446046,Tinggi,0.176061,Sedang,0.311053,Tinggi
64.02.03.2007,loa duri ilir,3275,0.904733,0.880643,0.201527,0.874733,0.612992,0.68382,0.01585,0.403071,0.749008,0.894351,0.470382,0.662122,0.874733,0.629651,0.70458,0.209399,0.672183,Sedang,0.327817,Rendah,0.120075,Rendah,0.223946,Rendah
64.02.03.2008,tani harapan,808,0.897277,0.876302,0.167079,0.798267,0.459592,0.581044,0.06479,0.469136,0.850866,0.896658,0.156559,0.646886,0.798267,0.492605,0.634695,0.266963,0.613445,Sedang,0.386555,Rendah,0.135722,Rendah,0.261138,Rendah
64.02.04.2002,muara pantuan,635,0.817323,0.764398,0.026772,0.740551,0.299449,0.618556,0.069149,0.361312,0.599213,0.7,0.234646,0.536164,0.740551,0.405656,0.511286,0.215231,0.52409,Rendah,0.47591,Tinggi,0.167135,Sedang,0.321522,Tinggi
64.02.04.2004,kutai lama,961,0.849116,0.819854,0.061394,0.783039,0.393028,0.601106,0.034941,0.306266,0.636316,0.776275,0.301769,0.576788,0.783039,0.45568,0.571453,0.170604,0.562444,Rendah,0.437556,Sedang,0.167623,Sedang,0.30259,Sedang
