kode_deskel,deskel,kategori_iid_rt,rentang_iid_rt,jumlah_kk,persentase_kk,total_kk_desa
64.02.02.2001,jonggon desa,sangat rendah,"0,00-0,20",77,0.084153,915
64.02.02.2001,jonggon desa,rendah,">0,20-0,40",71,0.077596,915
64.02.02.2001,jonggon desa,sedang,">0,40-0,60",381,0.416393,915
64.02.02.2001,jonggon desa,tinggi,">0,60-0,80",367,0.401093,915
64.02.02.2001,jonggon desa,sangat tinggi,">0,80-1,00",19,0.020765,915
64.02.02.2002,sungai payang,sangat rendah,"0,00-0,20",70,0.104167,672
64.02.02.2002,sungai payang,rendah,">0,20-0,40",54,0.080357,672
64.02.02.2002,sungai payang,sedang,">0,40-0,60",201,0.299107,672
64.02.02.2002,sungai payang,tinggi,">0,60-0,80",314,0.467262,672
64.02.02.2002,sungai payang,sangat tinggi,">0,80-1,00",33,0.049107,672
64.02.02.2003,jembayan,sangat rendah,"0,00-0,20",104,0.076527,1359
64.02.02.2003,jembayan,rendah,">0,20-0,40",89,0.065489,1359
64.02.02.2003,jembayan,sedang,">0,40-0,60",448,0.329654,1359
64.02.02.2003,jembayan,tinggi,">0,60-0,80",629,0.46284,1359
64.02.02.2003,jembayan,sangat tinggi,">0,80-1,00",89,0.065489,1359
64.02.02.2004,loa kulu kota,sangat rendah,"0,00-0,20",75,0.04223,1776
64.02.02.2004,loa kulu kota,rendah,">0,20-0,40",60,0.033784,1776
64.02.02.2004,loa kulu kota,sedang,">0,40-0,60",394,0.221847,1776
64.02.02.2004,loa kulu kota,tinggi,">0,60-0,80",972,0.547297,1776
64.02.02.2004,loa kulu kota,sangat tinggi,">0,80-1,00",275,0.154842,1776
64.02.02.2005,loh sumber,sangat rendah,"0,00-0,20",84,0.076782,1094
64.02.02.2005,loh sumber,rendah,">0,20-0,40",52,0.047532,1094
64.02.02.2005,loh sumber,sedang,">0,40-0,60",244,0.223035,1094
64.02.02.2005,loh sumber,tinggi,">0,60-0,80",582,0.531993,1094
64.02.02.2005,loh sumber,sangat tinggi,">0,80-1,00",132,0.120658,1094
64.02.02.2006,ponoragan,sangat rendah,"0,00-0,20",58,0.073885,785
64.02.02.2006,ponoragan,rendah,">0,20-0,40",32,0.040764,785
64.02.02.2006,ponoragan,sedang,">0,40-0,60",216,0.275159,785
64.02.02.2006,ponoragan,tinggi,">0,60-0,80",401,0.510828,785
64.02.02.2006,ponoragan,sangat tinggi,">0,80-1,00",78,0.099363,785
64.02.02.2007,rempanga,sangat rendah,"0,00-0,20",30,0.035211,852
64.02.02.2007,rempanga,rendah,">0,20-0,40",40,0.046948,852
64.02.02.2007,rempanga,sedang,">0,40-0,60",373,0.437793,852
64.02.02.2007,rempanga,tinggi,">0,60-0,80",341,0.400235,852
64.02.02.2007,rempanga,sangat tinggi,">0,80-1,00",68,0.079812,852
64.02.02.2008,margahayu,sangat rendah,"0,00-0,20",111,0.100362,1106
64.02.02.2008,margahayu,rendah,">0,20-0,40",88,0.079566,1106
64.02.02.2008,margahayu,sedang,">0,40-0,60",370,0.334539,1106
64.02.02.2008,margahayu,tinggi,">0,60-0,80",461,0.416817,1106
64.02.02.2008,margahayu,sangat tinggi,">0,80-1,00",76,0.068716,1106
64.02.02.2009,jonggon jaya,sangat rendah,"0,00-0,20",78,0.097136,803
64.02.02.2009,jonggon jaya,rendah,">0,20-0,40",76,0.094645,803
64.02.02.2009,jonggon jaya,sedang,">0,40-0,60",266,0.331258,803
64.02.02.2009,jonggon jaya,tinggi,">0,60-0,80",359,0.447073,803
64.02.02.2009,jonggon jaya,sangat tinggi,">0,80-1,00",24,0.029888,803
64.02.02.2010,lung anai,sangat rendah,"0,00-0,20",6,0.041379,145
64.02.02.2010,lung anai,rendah,">0,20-0,40",10,0.068966,145
64.02.02.2010,lung anai,sedang,">0,40-0,60",32,0.22069,145
64.02.02.2010,lung anai,tinggi,">0,60-0,80",82,0.565517,145
64.02.02.2010,lung anai,sangat tinggi,">0,80-1,00",15,0.103448,145
64.02.02.2011,jembayan tengah,sangat rendah,"0,00-0,20",42,0.080306,523
64.02.02.2011,jembayan tengah,rendah,">0,20-0,40",23,0.043977,523
64.02.02.2011,jembayan tengah,sedang,">0,40-0,60",185,0.353728,523
