level,komponen,kode,nama,jumlah_indikator_dimensi,rule_data,skoring,bobot_dalam_dimensi,bobot_dimensi_ke_iid,catatan
ringkasan,jumlah_dimensi,,Jumlah dimensi IID,5,"Akses perangkat, konektivitas internet, kapasitas manusia, penggunaan digital, lingkungan pendukung sosial",,,,Klasifikasi rekomendasi memakai quintile empiris
ringkasan,jumlah_indikator_total,,Jumlah indikator total,11,3 indikator akses + 1 konektivitas + 2 kapasitas + 3 penggunaan + 2 sosial,,,,Total 11 indikator
kategori,kategori_iid_rt,,Aturan kategori IID-RT,,Kategori dibentuk dari quintile empiris skor IID-RT seluruh KK valid,sangat rendah <= 0.4875; rendah > 0.4875-0.590278; sedang > 0.590278-0.6625; tinggi > 0.6625-0.739167; sangat tinggi > 0.739167,,,Q1=0.4875; Q2=0.590278; Q3=0.6625; Q4=0.739167
indikator,Akses perangkat,indikator_A,Kepemilikan HP rumah tangga,3,"hp_punya, hp_jumlah",0 = tidak memiliki HP; 1 = memiliki minimal satu HP,0.3333333333333333,0.25,Agregasi dimensi memakai weighted mean pada indikator yang tersedia
indikator,Akses perangkat,indikator_B,Kecukupan HP anggota usia 15 tahun ke atas,3,"usia, hp_punya, hp_jumlah",jumlah anggota keluarga usia >=15 yang memiliki HP / jumlah anggota keluarga usia >=15,0.3333333333333333,0.25,Agregasi dimensi memakai weighted mean pada indikator yang tersedia
indikator,Akses perangkat,indikator_C,Kepemilikan perangkat digital produktif,3,elektronik_rumah,0 = tidak memiliki laptop/notebook/komputer; 1 = memiliki minimal satu perangkat digital produktif,0.3333333333333333,0.25,Agregasi dimensi memakai weighted mean pada indikator yang tersedia
indikator,Konektivitas internet,indikator_D,Akses internet rumah tangga,1,"wifi, hp_provider, rp_komunikasi","0 = tidak ada akses; 0,5 = akses publik/gratis/terbatas; 0,75 = paket data seluler/provider HP; 1 = Wi-Fi/langganan internet rumah tangga",1.0,0.25,Agregasi dimensi memakai weighted mean pada indikator yang tersedia
indikator,Kapasitas manusia,indikator_E,Pendidikan terakhir kepala keluarga,2,"status_dalam_keluarga, ijazah","Tidak punya ijazah = 0; TK/PAUD = 0,10; SD = 0,25; SMP = 0,50; SMA/SMK = 0,75; D1/D2/D3 = 0,85; D4/S1 = 0,95; S2/S3 = 1",0.5,0.2,Agregasi dimensi memakai weighted mean pada indikator yang tersedia
indikator,Kapasitas manusia,indikator_F,Rasio partisipasi sekolah,2,"usia, partisipasi_sekolah",jumlah anggota usia 7-25 tahun yang sedang sekolah / jumlah anggota usia 7-25 tahun; jika tidak ada anggota pada rentang usia tersebut maka NA,0.5,0.2,Agregasi dimensi memakai weighted mean pada indikator yang tersedia
indikator,Lingkungan pendukung sosial,indikator_G,Rasio keterlibatan organisasi keluarga,2,"usia, par_organisasi, organisasi_nama",jumlah anggota keluarga usia >=9 yang mengikuti organisasi / jumlah anggota keluarga usia >=9,0.5,0.1,Agregasi dimensi memakai weighted mean pada indikator yang tersedia
indikator,Lingkungan pendukung sosial,indikator_H,Rasio partisipasi kegiatan masyarakat keluarga,2,"usia, par_masyarakat",jumlah anggota keluarga usia >=16 yang berpartisipasi dalam kegiatan masyarakat / jumlah anggota keluarga usia >=16,0.5,0.1,Agregasi dimensi memakai weighted mean pada indikator yang tersedia
indikator,Penggunaan digital,indikator_K,Penggunaan media sosial,3,medsos,"0 = tidak menggunakan; 0,5 = penggunaan terbatas; 1 = aktif menggunakan media sosial",0.3333333333333333,0.2,Agregasi dimensi memakai weighted mean pada indikator yang tersedia
indikator,Penggunaan digital,indikator_L,Akses media informasi,3,media_informasi,"0 = tidak mengakses media informasi; 0,5 = hanya media non-digital; 1 = mengakses media digital/online",0.3333333333333333,0.2,Agregasi dimensi memakai weighted mean pada indikator yang tersedia
indikator,Penggunaan digital,indikator_M,Partisipasi informasi/kebijakan,3,par_kebijakan,"0 = tidak pernah terlibat; 0,5 = pernah/terbatas/satu orang; 1 = aktif atau lebih dari satu orang",0.3333333333333333,0.2,Agregasi dimensi memakai weighted mean pada indikator yang tersedia
